word,common,prefix,distinct
chunk,2529,-1,-1
churn,4434,-1,2385
chute,3978,-1,-1
cider,2943,978,-1
cilantro,5058,1241,2659
cinch,5780,-1,-1
cinema,1290,635,892
cinnamon,2362,-1,1449
circle,704,441,555
circling,3518,-1,-1
circular,1702,-1,1109
circulate,4052,-1,-1
circus,1663,-1,1092
citable,7494,-1,-1
citadel,3519,-1,1990
citation,2044,-1,-1
citizen,932,-1,685
citric,5638,-1,2887
citrus,2701,-1,-1
city,47,46,41
civic,1616,-1,-1
civil,322,250,271
clad,2702,-1,-1
claim,298,-1,251
clambake,7126,-1,3502
clammy,6244,-1,-1
clamor,5876,-1,-1
clamp,3108,-1,-1
clamshell,6495,-1,3262
clang,5840,-1,-1
clanking,6660,-1,-1
clapped,4284,-1,2318
clapper,4965,-1,-1
clapping,3417,-1,1946
clarify,1971,-1,1258
clarinet,4244,-1,2303
clarity,1848,-1,-1
clash,1687,-1,-1
clasp,4327,-1,-1
class,107,97,93
clatter,5781,-1,-1
clause,1639,-1,-1
clavicle,6153,-1,3132
claw,2661,-1,-1
clay,1078,-1,772
clean,282,-1,-1
clear,140,123,119
cleat,6421,-1,-1
cleaver,4536,-1,-1
cleft,4895,-1,-1
clench,5782,-1,2947
clergyman,4053,-1,2218
clerical,3450,-1,-1
clerk,1617,-1,-1
clever,1196,-1,842
clicker,5899,-1,3009
client,719,-1,-1
climate,522,362,421
climatic,3944,-1,-1
cling,2986,-1,-1
clinic,1197,-1,843
clinking,6584,-1,-1
clip,1124,-1,798
clique,4118,-1,2251
cloak,2723,-1,-1
clobber,6561,-1,-1
clock,871,-1,643
clone,2409,-1,-1
cloning,3832,-1,-1
closable,7515,-1,3641
closure,1395,-1,954
clothes,506,352,408
clothing,803,-1,602
cloud,818,-1,-1
clover,3418,-1,-1
